#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID	depth_cat
CN18FESPkoa_SC24_CC	CN18F	33.19233	CC38	CC	18S	CN18FESPkoa_SC24	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP1	CN18F1	27-50
CN18FESPkoa_SC26_CC	CN18F	24.64198	CC36	CC	18S	CN18FESPkoa_SC26	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP2	CN18F2	0-25
CN18FESPkoa_SC29_CC	CN18F	24.12127	CC33	CC	18S	CN18FESPkoa_SC29	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP3	CN18F3	0-25
CN18FESPkoa_SC30_CC	CN18F	12.84975	CC31	CC	18S	CN18FESPkoa_SC30	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP4	CN18F4	0-25
CN18FESPkoa_SC31_CC	CN18F	17.95441	CC30	CC	18S	CN18FESPkoa_SC31	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP5	CN18F5	0-25
CN18FESPkoa_SC32_CC	CN18F	34.26964	CC29	CC	18S	CN18FESPkoa_SC32	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP6	CN18F6	27-50
CN18FESPkoa_SC34_CC	CN18F	27.85332	CC27	CC	18S	CN18FESPkoa_SC34	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP7	CN18F7	27-50
CN18FESPkoa_SC35_CC	CN18F	25.00059	CC26	CC	18S	CN18FESPkoa_SC35	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP8	CN18F8	0-25
CN18FESPkoa_SC37_CC	CN18F	31.66745	CC24	CC	18S	CN18FESPkoa_SC37	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP9	CN18F9	27-50
CN18FESPkoa_SC40_CC	CN18F	23.4112	CC21	CC	18S	CN18FESPkoa_SC40	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP10	CN18F10	0-25
CN18FESPkoa_SC41_CC	CN18F	23.25099	CC20	CC	18S	CN18FESPkoa_SC41	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP11	CN18F11	0-25
CN18FESPkoa_SC43_CC	CN18F	32.40881	CC18	CC	18S	CN18FESPkoa_SC43	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP12	CN18F12	27-50
CN18FESPkoa_SC44_CC	CN18F	34.72139	CC17	CC	18S	CN18FESPkoa_SC44	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP13	CN18F13	27-50
CN18FESPkoa_SC46_CC	CN18F	36.81464	CC15	CC	18S	CN18FESPkoa_SC46	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP14	CN18F14	27-50
CN18FESPkoa_SC47_CC	CN18F	31.69745	CC14	CC	18S	CN18FESPkoa_SC47	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP15	CN18F15	27-50
CN18FESPkoa_SC49_CC	CN18F	44.79719	CC12	CC	18S	CN18FESPkoa_SC49	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP16	CN18F16	27-50
CN18FESPkoa_SC52_CC	CN18F	25.30529	CC9	CC	18S	CN18FESPkoa_SC52	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP17	CN18F17	0-25
CN18FESPkoa_SC53_CC	CN18F	34.44149	CC8	CC	18S	CN18FESPkoa_SC53	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP18	CN18F18	27-50
CN18FESPkoa_SC55_CC	CN18F	39.02684	CC6	CC	18S	CN18FESPkoa_SC55	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP19	CN18F19	27-50
CN18FESPkoa_SC56_CC	CN18F	39.844	CC5	CC	18S	CN18FESPkoa_SC56	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP20	CN18F20	27-50
CN18FESPkoa_SC57_CC	CN18F	35.21757	CC4	CC	18S	CN18FESPkoa_SC57	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP21	CN18F21	27-50
CN18FESPkoa_SC58_CC	CN18F	30.91903	CC3	CC	18S	CN18FESPkoa_SC58	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP22	CN18F22	27-50
CN18Fc12_8_eDNA_HH	CN18F	30	HH9	HH	18S	CN18Fc12_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD22	CN18F22	27-50
CN18Fc19_5_eDNA_HH	CN18F	40	HH21	HH	18S	CN18Fc19_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD21	CN18F21	27-50
CN18Fc21_6_eDNA_HH	CN18F	25	HH33	HH	18S	CN18Fc21_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD20	CN18F20	0-25
CN18Fc22_6_eDNA_HH	CN18F	35	HH45	HH	18S	CN18Fc22_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD19	CN18F19	27-50
CN18Fc24_6_eDNA_HH	CN18F	25	HH57	HH	18S	CN18Fc24_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD18	CN18F18	0-25
CN18Fc25_5_eDNA_HH	CN18F	30	HH69	HH	18S	CN18Fc25_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD17	CN18F17	27-50
CN18Fc27_4_eDNA_HH	CN18F	45	HH81	HH	18S	CN18Fc27_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD16	CN18F16	27-50
